Designator,Mid X,Mid Y,Rotation,Layer
D_0,76.1892,-103.1184,90.0,bottom
D_1,133.3356,-103.1184,90.0,bottom
D_10,190.482,-134.0607,90.0,bottom
D_11,80.9514,-153.1721,90.0,bottom
D_12,104.7624,-153.1095,90.0,bottom
D_13,123.8112,-153.1095,90.0,bottom
D_14,142.86,-153.1721,90.0,bottom
D_15,161.9088,-153.1721,90.0,bottom
D_16,180.9576,-153.1721,90.0,bottom
D_17,83.3325,-172.2209,90.0,bottom
D_18,109.5246,-172.2209,90.0,bottom
D_19,128.5734,-172.2209,90.0,bottom
D_2,152.3844,-103.1184,90.0,bottom
D_20,147.6222,-172.2209,90.0,bottom
D_21,166.671,-172.2209,90.0,bottom
D_22,185.7198,-172.2209,90.0,bottom
D_23,78.5703,-191.2697,90.0,bottom
D_24,100.0002,-191.2697,90.0,bottom
D_25,119.049,-191.2697,90.0,bottom
D_26,138.0978,-191.2697,90.0,bottom
D_27,157.1466,-191.2697,90.0,bottom
D_28,176.1954,-191.2697,90.0,bottom
D_29,195.2442,-191.2697,90.0,bottom
D_3,171.4332,-103.1184,90.0,bottom
D_30,78.5703,-210.3185,90.0,bottom
D_31,102.3813,-210.3185,90.0,bottom
D_32,126.1923,-210.3185,90.0,bottom
D_33,152.3844,-210.3185,90.0,bottom
D_34,185.7198,-210.3185,90.0,bottom
D_35,268.1127,-103.181,90.0,bottom
D_36,268.2706,-153.9778,90.0,bottom
D_37,287.1615,-103.181,90.0,bottom
D_38,273.0328,-134.929,90.0,bottom
D_39,287.3194,-153.9778,90.0,bottom
D_4,76.1892,-134.1233,90.0,bottom
D_40,273.0328,-172.7737,90.0,bottom
D_41,277.795,-192.0754,90.0,bottom
D_42,306.2103,-103.181,90.0,bottom
D_43,292.0816,-134.929,90.0,bottom
D_44,306.3682,-153.9778,90.0,bottom
D_45,292.0816,-173.0266,90.0,bottom
D_46,296.8438,-192.0754,90.0,bottom
D_47,294.4627,-211.1242,90.0,bottom
D_48,311.1304,-134.929,90.0,bottom
D_49,325.417,-153.9778,90.0,bottom
D_5,95.238,-134.1233,90.0,bottom
D_50,311.1304,-173.0266,90.0,bottom
D_51,315.8926,-192.0754,90.0,bottom
D_52,330.1792,-134.929,90.0,bottom
D_53,344.4658,-153.9778,90.0,bottom
D_54,330.1792,-173.0266,90.0,bottom
D_55,334.9414,-192.0754,90.0,bottom
D_56,332.5603,-211.1242,90.0,bottom
D_57,346.0532,-103.181,90.0,bottom
D_58,349.228,-134.929,90.0,bottom
D_59,363.5146,-153.9778,90.0,bottom
D_6,114.2868,-134.1233,90.0,bottom
D_60,349.228,-173.0266,90.0,bottom
D_61,353.9902,-192.0754,90.0,bottom
D_62,356.3713,-211.1242,90.0,bottom
D_63,365.102,-103.181,90.0,bottom
D_64,368.2768,-134.929,90.0,bottom
D_65,382.5634,-153.9778,90.0,bottom
D_66,368.2768,-173.0266,90.0,bottom
D_67,380.1823,-211.1242,90.0,bottom
D_68,384.1508,-103.181,90.0,bottom
D_69,396.85,-134.929,90.0,bottom
D_7,133.3356,-134.1233,90.0,bottom
D_70,387.3256,-173.0266,90.0,bottom
D_71,389.7067,-192.0754,90.0,bottom
D_72,406.3744,-103.181,90.0,bottom
D_73,403.9933,-153.9778,90.0,bottom
D_74,403.9933,-211.1242,90.0,bottom
D_8,152.3844,-134.1233,90.0,bottom
D_9,171.4332,-134.0607,90.0,bottom
J1,200.8001,-92.0068,0.0,top
J2,250.8092,-92.0188,0.0,top
SW1,200.8001,-110.3123,270.0,top
SW2,250.8092,-110.3243,270.0,top
U1,187.6242,-109.6779,0.0,bottom
U2,323.0359,-110.3243,0.0,top
