Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
"D_0, D_1, D_10, D_11, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_2, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_29, D_3, D_30, D_31, D_32, D_33, D_34, D_35, D_36, D_37, D_38, D_39, D_4, D_40, D_41, D_42, D_43, D_44, D_45, D_46, D_47, D_48, D_49, D_5, D_50, D_51, D_52, D_53, D_54, D_55, D_56, D_57, D_58, D_59, D_6, D_60, D_61, D_62, D_63, D_64, D_65, D_66, D_67, D_68, D_69, D_7, D_70, D_71, D_72, D_73, D_74, D_75, D_8, D_9",D3_TH_SMD_v2,76,D,
"J1, J2",MJ-4PP-9_1side,2,MJ-4PP-9,
"K_0, K_1, K_10, K_12, K_13, K_14, K_15, K_16, K_18, K_19, K_2, K_20, K_21, K_22, K_24, K_25, K_26, K_27, K_28, K_29, K_3, K_34, K_35, K_36, K_37, K_38, K_39, K_4, K_40, K_41, K_42, K_43, K_44, K_45, K_46, K_47, K_48, K_49, K_5, K_50, K_51, K_52, K_53, K_54, K_55, K_57, K_58, K_59, K_6, K_60, K_61, K_63, K_64, K_65, K_66, K_68, K_69, K_7, K_70, K_71, K_72, K_8, K_9",SW_MX_1u,63,KEYSW,
"K_11, K_33",SW_MX_1.5u,2,KEYSW,
K_17,SW_MX_1.75u,1,KEYSW,
"K_23, K_30, K_31, K_32, K_56, K_62, K_67, K_73, K_74",SW_MX_1.25u,9,KEYSW,
"LED1, LED10, LED11, LED12, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12,WS2812B,
"S1, S2, S3, S4",STAB_MX_P_2u,4,MX_stab,
"SW1, SW2",ResetSW_1side,2,SW_PUSH,
SW3,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
"U1, U3",ProMicro_v3,2,ProMicro,
