Designator,Mid X,Mid Y,Rotation,Layer
,364.3083,-239.6974,0.0,top
D_0,115.8742,-138.0394,90.0,bottom
D_1,173.0206,-138.0394,90.0,bottom
D_10,230.167,-168.9817,90.0,bottom
D_11,120.6364,-188.0931,90.0,bottom
D_12,144.4474,-188.0305,90.0,bottom
D_13,163.4962,-188.0305,90.0,bottom
D_14,182.545,-188.0931,90.0,bottom
D_15,201.5938,-188.0931,90.0,bottom
D_16,220.6426,-188.0931,90.0,bottom
D_17,123.0175,-207.1419,90.0,bottom
D_18,149.2096,-207.1419,90.0,bottom
D_19,168.2584,-207.1419,90.0,bottom
D_2,192.0694,-138.0394,90.0,bottom
D_20,187.3072,-207.1419,90.0,bottom
D_21,206.356,-207.1419,90.0,bottom
D_22,225.4048,-207.1419,90.0,bottom
D_23,118.2553,-226.1907,90.0,bottom
D_24,139.6852,-226.1907,90.0,bottom
D_25,158.734,-226.1907,90.0,bottom
D_26,177.7828,-226.1907,90.0,bottom
D_27,196.8316,-226.1907,90.0,bottom
D_28,215.8804,-226.1907,90.0,bottom
D_29,234.9292,-226.1907,90.0,bottom
D_3,211.1182,-138.0394,90.0,bottom
D_30,118.2553,-245.2395,90.0,bottom
D_31,142.0663,-245.2395,90.0,bottom
D_32,165.8773,-245.2395,90.0,bottom
D_33,192.0694,-245.2395,90.0,bottom
D_34,225.4048,-245.2395,90.0,bottom
D_35,291.94525,-138.0571,90.0,bottom
D_36,291.30945,-188.0602,90.0,bottom
D_37,310.99405,-138.0571,90.0,bottom
D_38,296.07165,-169.0114,90.0,bottom
D_39,310.35825,-188.0602,90.0,bottom
D_4,115.8742,-169.0443,90.0,bottom
D_40,296.07165,-206.8561,90.0,bottom
D_41,300.83385,-226.1578,90.0,bottom
D_42,330.04285,-138.0571,90.0,bottom
D_43,315.12045,-169.0114,90.0,bottom
D_44,329.40705,-188.0602,90.0,bottom
D_45,315.12045,-207.109,90.0,bottom
D_46,319.88265,-226.1578,90.0,bottom
D_47,317.50155,-245.2066,90.0,bottom
D_48,334.16925,-169.0114,90.0,bottom
D_49,348.45585,-188.0602,90.0,bottom
D_5,134.923,-169.0443,90.0,bottom
D_50,334.16925,-207.109,90.0,bottom
D_51,338.93145,-226.1578,90.0,bottom
D_52,353.21805,-169.0114,90.0,bottom
D_53,367.50465,-188.0602,90.0,bottom
D_54,353.21805,-207.109,90.0,bottom
D_55,357.98025,-226.1578,90.0,bottom
D_56,355.59915,-245.2066,90.0,bottom
D_57,369.88575,-138.0571,90.0,bottom
D_58,372.26685,-169.0114,90.0,bottom
D_59,386.55345,-188.0602,90.0,bottom
D_6,153.9718,-169.0443,90.0,bottom
D_60,372.26685,-207.109,90.0,bottom
D_61,377.02905,-226.1578,90.0,bottom
D_62,379.41015,-245.2066,90.0,bottom
D_63,388.93455,-138.0571,90.0,bottom
D_64,391.31565,-169.0114,90.0,bottom
D_65,405.60225,-188.0602,90.0,bottom
D_66,391.31565,-207.109,90.0,bottom
D_67,403.22115,-245.2066,90.0,bottom
D_68,407.98335,-138.0571,90.0,bottom
D_69,419.88885,-169.0114,90.0,bottom
D_7,173.0206,-169.0443,90.0,bottom
D_70,410.36445,-207.109,90.0,bottom
D_71,412.74555,-226.1578,90.0,bottom
D_72,429.41325,-138.0571,90.0,bottom
D_73,427.03215,-188.0602,90.0,bottom
D_74,427.03215,-245.2066,90.0,bottom
D_75,153.9778,-137.9144,90.0,bottom
D_8,192.0694,-169.0443,90.0,bottom
D_9,211.1182,-168.9817,90.0,bottom
J1,241.01,-125.3524,0.0,top
J2,275.16065,-125.2327,0.0,top
LED1,104.0436,-178.6433,0.0,bottom
LED10,407.98335,-215.046,0.0,bottom
LED11,359.63655,-177.011,0.0,bottom
LED12,412.67665,-177.011,0.0,bottom
LED2,105.5621,-215.8846,0.0,bottom
LED3,160.3274,-176.9933,0.0,bottom
LED4,165.0207,-217.5346,0.0,bottom
LED5,218.1986,-176.2622,0.0,bottom
LED6,222.236,-217.472,0.0,bottom
LED7,307.18345,-216.6334,0.0,bottom
LED8,358.70505,-215.1086,0.0,bottom
LED9,304.00865,-177.7421,0.0,bottom
SW1,240.4851,-146.039,270.0,top
SW2,274.64175,-145.9941,270.0,top
SW3,142.866,-137.3083,0.0,top
U1,346.69915,-143.6579,0.0,top
U3,227.4635,-143.6579,0.0,top
